account_rewards,date
7243.37407795724,2022-07-06
-1045.1734952087281,2022-07-07
-3954.542767070816,2022-07-08
-8021.444740707404,2022-07-11
-5223.462649887078,2022-07-12
-1900.6215452575125,2022-07-13
18579.634167343145,2022-07-14
-11439.536553436308,2022-07-15
13823.452304840088,2022-07-18
-4720.190849304199,2022-07-19
5086.797416687012,2022-07-20
-3745.500431060791,2022-07-21
5509.887390136719,2022-07-22
-2468.111843109131,2022-07-25
11152.04055404663,2022-07-26
8735.114337921143,2022-07-27
7819.386768341064,2022-07-28
-848.7711138039595,2022-07-29
-3812.958507537842,2022-08-01
6625.913754272391,2022-08-02
-504.31241455080453,2022-08-03
2265.2133046265226,2022-08-04
-824.1252746582031,2022-08-05
-538.1085662841797,2022-08-08
14000.05599975586,2022-08-09
779.9996337890625,2022-08-10
11140.930892944336,2022-08-11
5963.556060791016,2022-08-12
8436.718811035156,2022-08-15
-2862.2438354492188,2022-08-16
824.3204345703125,2022-08-17
-6931.799530029297,2022-08-18
-16954.043975830078,2022-08-19
-5310.43278503418,2022-08-22
-563.5335540771484,2022-08-23
8626.710205078125,2022-08-24
-25077.397918701172,2022-08-25
-5563.571578979492,2022-08-26
-8491.116287231445,2022-08-29
-7127.048431396484,2022-08-30
7417.355224609375,2022-08-31
-8904.279922485352,2022-09-01
-3168.934524536133,2022-09-02
11906.053924560547,2022-09-06
4344.030731201172,2022-09-07
9033.096328735352,2022-09-08
6581.774475097656,2022-09-09
-33474.972106933594,2022-09-12
3166.695022583008,2022-09-13
-8823.221725463867,2022-09-14
-551.9142456054688,2022-09-15
5501.527267456055,2022-09-16
-8547.454849243164,2022-09-19
-15297.20295715332,2022-09-20
-2107.610794067383,2022-09-21
-8091.252228462254,2022-09-22
-8164.004039764404,2022-09-23
-6428.9946937561035,2022-09-26
12815.280715942383,2022-09-27
-10468.443134307861,2022-09-28
-11380.341060638428,2022-09-29
18714.191455841064,2022-09-30
